央视频道,#genre#
CCTV14,http://106.111.244.182:60001/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://106.111.244.182:60001/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://dsj.motem.top:8880/bptv/10000100000000050000000004796248.m3u8

CCTV3,http://113.64.146.94:2024/hls/20/index.m3u8
CCTV5,http://113.64.146.94:2024/hls/22/index.m3u8
CCTV6,http://113.64.146.94:2024/hls/23/index.m3u8
CCTV8,http://113.64.146.94:2024/hls/25/index.m3u8
CCTV9,http://113.64.146.94:2024/hls/26/index.m3u8
CCTV10,http://113.64.146.94:2024/hls/28/index.m3u8
CCTV11,http://113.64.146.94:2024/hls/29/index.m3u8
CCTV16,http://113.64.146.94:2024/hls/35/index.m3u8
CCTV风云足球,http://113.64.146.94:2024/hls/43/index.m3u8

CCTV1,http://ycsj.aguihome.com:4022/rtp/233.50.201.118:5140
CCTV2,http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140
CCTV3,http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140
CCTV4,http://ycsj.aguihome.com:4022/rtp/233.50.200.101:5140
CCTV5,http://ycsj.aguihome.com:4022/rtp/233.50.201.197:5140
CCTV5+,http://ycsj.aguihome.com:4022/rtp/233.50.201.220:5140
CCTV6,http://ycsj.aguihome.com:4022/rtp/233.50.201.198:5140
CCTV7,http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140
CCTV8,http://ycsj.aguihome.com:4022/rtp/233.50.201.199:5140
CCTV9,http://ycsj.aguihome.com:4022/rtp/233.50.201.121:5140
CCTV10,http://ycsj.aguihome.com:4022/rtp/233.50.201.122:5140
CCTV11,http://ycsj.aguihome.com:4022/rtp/233.50.200.132:5140
CCTV12,http://ycsj.aguihome.com:4022/rtp/233.50.201.123:5140
CCTV13,http://ycsj.aguihome.com:4022/rtp/233.50.201.246:5140
CCTV14,http://ycsj.aguihome.com:4022/rtp/233.50.201.124:5140
CCTV15,http://ycsj.aguihome.com:4022/rtp/233.50.200.133:5140
CCTV16,http://ycsj.aguihome.com:4022/rtp/233.50.200.112:5140
CCTV17,http://ycsj.aguihome.com:4022/rtp/233.50.200.113:5140

CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
